short_name,long_name,player_positions,overall,position,nationality
Rúben Neves,Rúben Diogo da Silva Neves,"CDM, CM",84,CDM,Portugal
F. Nmecha,Felix Kalu Nmecha,"CDM, CM",82,SUB,Germany
Carlos Augusto,Carlos Augusto Zopalato Neves,"LB, CB, LM",81,SUB,Brazil
J. McGinn,John McGinn,"LM, RM, CAM, LB",81,RM,Scotland
Berenguer,Alejandro Berenguer Remiro,"LM, RM, CAM, LW",82,SUB,Spain
E. Can,Emre Can,"CB, CDM, CM",82,SUB,Germany
L. Pellegrini,Lorenzo Pellegrini,"CAM, CM",80,SUB,Italy
Pedro Gonçalves,Pedro António Pereira Gonçalves,"CAM, LM, CM",83,LM,Portugal
Joelinton,Joelinton Cassio Apolinário de Lira,"CM, LW, LM",82,LCM,Brazil
Nuno Mendes,Nuno Alexandre Tavares Mendes,"LB, LM",86,LB,Portugal
R. Lewandowski,Robert Lewandowski,ST,88,ST,Poland
K. Thuram,Khéphren Thuram-Ulien,"CM, CDM",81,LCM,France
I. Perišić,Ivan Perišić,"RW, LW, RM",81,RW,Croatia
B. Mbeumo,Bryan Tetsadong Marceau Mbeumo,"RW, RM, ST",85,RW,Cameroon
Y. Tielemans,Youri Tielemans,"CM, CDM, CAM",85,CAM,Belgium
J. Tavernier,James Henry Tavernier,"RB, RM",77,RB,England
J. Musiala,Jamal Musiala,"CAM, LM, CM, ST",88,SUB,Germany
Marc Cucurella,Marc Cucurella Saseta,LB,84,LB,Spain
L. Torreira,Lucas Sebastián Torreira di Pascua,"CDM, CM",83,RDM,Uruguay
M. Lemina,Mario René Junior Lemina,"CDM, CM",79,LDM,Gabon
L. Modrić,Luka Modrić,"CM, CAM, CDM",83,LCM,Croatia
F. Kessié,Franck Yannick Kessié,"CDM, CM, CB",80,LDM,Côte d'Ivoire
G. Lo Celso,Giovani Lo Celso,"CAM, CM, CDM",82,CAM,Argentina
F. Aursnes,Fredrik Aursnes,"CM, RB, RM, CAM",80,RM,Norway
D. Kulusevski,Dejan KulusevskiДејан Кулушевски,"CM, RW, CAM",83,RES,Sweden
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,"CM, RM, CDM, CAM",84,RCM,Portugal
F. Wirtz,Florian Richard Wirtz,"CAM, ST, CM",89,CAM,Germany
W. McKennie,Weston James Earl McKennie,"CM, CDM, CAM",78,SUB,United States
R. Loftus-Cheek,Ruben Ira Loftus-Cheek,"CM, CAM",80,LAM,England
Sergi Darder,Sergi Darder Moll,"LM, CM, CDM, LW",81,RCM,Spain
C. Tolisso,Corentin Tolisso,"CM, CDM, CAM",81,CAM,France
M. Brozović,Marcelo Brozović,"CDM, CM",81,LDM,Croatia
M. De Cuyper,Maxim De Cuyper,"LB, RB, LM",80,LB,Belgium
Q. Timber,Quinten Ryan Crispito Timber,"CM, CDM, CAM",80,LCM,Netherlands
C. McGregor,Callum William McGregor,"CDM, CM",79,CDM,Scotland
Douglas Luiz,Douglas Luiz Soares de Paulo,"CM, CDM",80,SUB,Brazil
Ayoze,Ayoze Pérez Gutiérrez,"ST, CAM",83,LS,Spain
A. Davies,Alphonso Boyle Davies,"LB, LM",84,SUB,Canada
D. Frattesi,Davide Frattesi,CM,81,SUB,Italy
Nuno Santos,Nuno Miguel Gomes dos Santos,"LM, LB, LW",79,SUB,Portugal
M. Guendouzi,Mattéo Elias Kenzo Guendouzi Olié,"CDM, CM",82,RCM,France
M. Caicedo,Moisés Isaac Caicedo Corozo,"CDM, CM",87,RDM,Ecuador
J. Gvardiol,Joško Gvardiol,"LB, CB, LM",84,LCB,Croatia
A. Zambo Anguissa,André-Frank Zambo Anguissa,"CM, CAM",82,RCM,Cameroon
K. Trippier,Kieran John Trippier,"RB, RM",80,RB,England
Lucas Paquetá,Lucas Tolentino Coelho de Lima,"CM, LM, CAM",80,CAM,Brazil
Gabriel Sara,Gabriel Davi Gomes Sara,"CM, CAM, RM",80,CAM,Brazil
M. Hjulmand,Morten Blom Due Hjulmand,"CDM, CM",83,RDM,Denmark
M. Arambarri,Mauro Wilney Arambarri Rosa,"CM, CDM",80,LCM,Uruguay
D. Maeda,Daizen Maeda前田 大然,"LW, ST, RW, LM",79,ST,Japan
E. Haaland,Erling Braut Håland,ST,90,ST,Norway
B. Pavard,Benjamin Pavard,CB,84,RCB,France
E. Anderson,Elliot Junior Anderson,"CDM, CM",80,LDM,England
G. Wijnaldum,Georginio Gregion Emile Wijnaldum,"CAM, ST, CM",78,ST,Netherlands
Marcos Alonso,Marcos Alonso Mendoza,"CB, LB",79,LCB,Spain
Aleix García,Aleix García Serrano,"CM, CDM",83,RCM,Spain
Álex Baena,Alejandro Baena Rodríguez,"LM, ST, LW",84,LM,Spain
M. Tillman,Malik Leon Tillman,"CAM, LW, CM",82,RAM,United States
E. Palacios,Exequiel Alejandro Palacios,"CM, CDM",84,SUB,Argentina
R. Zalazar,Rodrigo Zalazar Martínez,"CAM, CM, LM",79,LM,Uruguay
Carvajal,Daniel Carvajal Ramos,"RB, RM",85,SUB,Spain
Koke,Jorge Resurrección Merodio,"CM, CDM",81,SUB,Spain
L. Ferguson,Lewis Ferguson,"CM, CDM, CAM",78,SUB,Scotland
R. Ríos,Richard Rios Montoya,"CM, CDM",79,RDM,Colombia
G. Di Lorenzo,Giovanni Di Lorenzo,"RB, CB, RM",83,RB,Italy
C. Palmer,Cole Jermaine Palmer,"CAM, RM, ST",87,CAM,England
Y. Herrera,Yangel Clemente Herrera Ravelo,"CM, CDM, CAM",81,RDM,Venezuela
Miguel Gutiérrez,Miguel Gutiérrez Ortega,"LB, LM",81,SUB,Spain
Angeliño,José Ángel Esmoris Tasende,"LB, LM",79,LM,Spain
Éderson,Éderson José dos Santos Lourenço da Silva,CM,82,SUB,Brazil
M. Arnold,Maximilian Arnold,"CDM, CM",79,LDM,Germany
M. Gibbs-White,Morgan Anthony Gibbs-White,"CAM, ST",82,CAM,England
M. Locatelli,Manuel Locatelli,"CDM, CM",84,RCM,Italy
D. Dumfries,Denzel Justus Morris Dumfries,"RB, RM",84,RB,Netherlands
L. Digne,Lucas Digne,"LB, LM",80,LB,France
R. Andrich,Robert Andrich,"CDM, CM, CB",81,LCM,Germany
A. Tchouaméni,Aurélien Djani Tchouameni,"CDM, CM, CB",84,LDM,France
S. Guirassy,Serhou Yadaly Guirassy,ST,87,ST,Guinea
L. Provod,Lukáš Provod,"CAM, CM, LM",78,RAM,Czechia
M. Zaccagni,Mattia Zaccagni,"LM, LW",84,LW,Italy
M. de Roon,Marten Elco de Roon,"CM, CDM",81,RCM,Netherlands
R. Skov,Robert Faxe Skov,"LB, RB, RM, LM",74,LB,Denmark
Brais Méndez,Brais Méndez Portela,"CM, RM, CAM",81,CAM,Spain
R. Gosens,Robin Everardus Gosens,"LB, LM",80,LM,Germany
Fabián Ruiz,Fabián Ruiz Peña,"CM, CDM",85,LCM,Spain
G. Hamer,Gustavo Martin Emilio Hamer,"LM, CM, LW",77,LCM,Netherlands
J. Maddison,James Daniel Maddison,"CM, CAM",84,RES,England
P. Groß,Pascal Groß,"CDM, CM",80,RCM,Germany
Yuri Berchiche,Yuri Berchiche Izeta,"LB, LM",79,LB,Spain
R. Guerreiro,Raphaël Adelino José Guerreiro,"LB, CM, RB, LM",80,SUB,Portugal
K. Laimer,Konrad Laimer,"RB, CDM, CM, RM",82,RB,Austria
Jordi Alba,Jordi Alba Ramos,LB,78,LB,Spain
D. Olaru,Darius Dumitru Olaru,"CM, CAM",73,CAM,Romania
M. Rogers,Morgan Elliot Rogers,"CAM, RM, LM, CM",82,LM,England
Y. Carrasco,Yannick Ferreira Carrasco,"LW, LM",81,LM,Belgium
D. Doué,Désiré Doué,"RW, LW, CM, RM",85,RW,France
M. Thuram,Marcus Lilian Thuram-Ulien,ST,85,RS,France
D. Raum,David Raum,"LB, LM",82,LB,Germany
V. Gyökeres,Viktor Einar Gyökeres,ST,87,ST,Sweden
G. Sudakov,Georgiy SudakovСудаков Георгій Вікторович,"CAM, CM, CDM",80,SUB,Ukraine
Anderson Talisca,Anderson Souza Conceição,"CAM, ST, RW, CM",81,CAM,Brazil
C. Baleba,Carlos Noom Quomah Baleba,"CDM, CM",81,RDM,Cameroon
N. Stanciu,Nicolae Claudiu Stanciu,"CM, CAM",77,CAM,Romania
X. Simons,Xavier Quentin Shay Simons,"CAM, LM, ST",84,SUB,Netherlands
C. Biraghi,Cristiano Biraghi,"LB, LM",78,LB,Italy
G. Xhaka,Granit Xhaka,"CDM, CM",85,CDM,Switzerland
P. Dybala,Paulo Bruno Exequiel Dybala,"CAM, ST",86,RAM,Argentina
C. Pulisic,Christian Mate Pulišić,"RW, RM, CAM",84,RAM,United States
L. Advíncula,Luis Jan Piers Advíncula Castrillón,"RB, RM",75,RB,Peru
S. Mané,Sadio Mané,"LM, RM, ST, LW",83,LM,Senegal
Iñaki Williams,Iñaki Williams Arthuer,"RM, ST, RW",83,RM,Ghana
C. Puertas,Cameron Mitchel Puertas Castro,"CAM, CM",78,SUB,Spain
J. Clauss,Jonathan Clauss,"RB, RM",80,RM,France
M. Kerkez,Milos KerkezМилош Керкез,"LB, LM",82,LB,Hungary
K. Koné,Kouadio Emmanuel Boris Koné,CM,79,LCM,France
T. Teuma,Teddy Teuma,"CAM, CM",75,CAM,Malta
Mingueza,Óscar Mingueza García,"RB, RM, LM",80,RM,Spain
H. Son,Heung-min Son손흥민 孙兴慜,"LW, ST, LM",85,ST,Korea Republic
N. Kanté,N'Golo Kanté,"CDM, CM",85,RDM,France
K. Walker,Kyle Andrew Walker,"RB, RM",79,RB,England
Parejo,Daniel Parejo Muñoz,"CM, CDM",82,LCM,Spain
M. O'Riley,Matthew Sean O'Riley,"CAM, CM",78,SUB,Denmark
L. Díaz,Luis Fernando Díaz Marulanda,"LM, LW, ST",85,LM,Colombia
N. Amiri,Nadiem Amiri,"CM, CAM",81,LCM,Germany
M. Kovačić,Mateo Kovačić,"CM, CDM, CAM",83,RES,Croatia
F. Ugrinić,Filip Ugrinić,"CM, CAM, CDM",75,SUB,Switzerland
O. Pineda,Orbelín Pineda Alvarado,"CAM, CM, RB",77,RCM,Mexico
L. Paredes,Leandro Daniel Paredes,"CM, CDM",78,LCM,Argentina
P. Foden,Philip Walter Foden,"RW, CM, LW, RM",85,SUB,England
Matheus Nunes,Matheus Luiz Nunes,"RB, CM, RM",79,RB,Portugal
İ. Gündoğan,İlkay Gündoğan,"CM, CDM, CAM",83,SUB,Germany
W. Zaïre-Emery,Warren Zaïre-Emery,"CM, CDM, CAM",80,SUB,France
Luis Milla,Luis Milla Manzanares,"CM, CDM",79,CDM,Spain
S. Al Dawsari,Salem Al Dawsariسالم الدوسري,"LM, LW",82,LM,Saudi Arabia
L. Sučić,Luka Sučić,"CM, CAM",78,SUB,Croatia
R. Malinovskyi,Ruslan MalinovskyiМаліновський Руслан Володимирович,"CM, CAM, CDM",76,SUB,Ukraine
C. Gakpo,Cody Mathès Gakpo,"LM, LW",84,LM,Netherlands
Sergio Gómez,Sergio Gómez Martín,"LM, CM, LB",79,SUB,Spain
M. Shaparenko,Mykola ShaparenkoШапаренко Микола Володимирович,"CM, CAM, CDM",78,CAM,Ukraine
Andrey Santos,Andrey Nascimento dos Santos,"CM, CDM",80,SUB,Brazil
Johnny Cardoso,João Lucas de Souza Cardoso,"CDM, CM",81,RCM,United States
O. Watkins,Oliver George Arthur Watkins,ST,84,ST,England
M. Olise,Michael Akpovie Olise,"RM, RW",86,RM,France
D. Zappacosta,Davide Zappacosta,"LM, RM, LB",79,SUB,Italy
J. Henderson,Jordan Brian Henderson,"CDM, CM",79,RDM,England
Zubimendi,Martín Zubimendi Ibáñez,"CDM, CM",83,CDM,Spain
A. Cambiaso,Andrea Cambiaso,"LB, RB, LM",79,LM,Italy
A. Robertson,Andrew Henry Robertson,"LB, LM",82,SUB,Scotland
F. Mendy,Ferland Sinna Mendy,"LB, LM",81,SUB,France
D. Muñoz,Daniel Muñoz Mejía,"RB, RM",81,RB,Colombia
R. Bensebaini,Ramy Bensebainiرامي بن سبعيني,"LB, CB, LM",79,LCB,Algeria
M. Camara,Mohamed Mady Camara,"CM, CDM",74,LDM,Guinea
P. Zieliński,Piotr Sebastian Zieliński,CM,80,SUB,Poland
E. Eze,Eberechi Oluchi Eze,"CAM, LW, ST",83,SUB,England
Matheus Cunha,Matheus Santos Carneiro da Cunha,"CAM, LW, ST",83,LW,Brazil
N. Deossa,Nelson Alexander Deossa Suárez,"CM, CDM, CAM",75,SUB,Colombia
D. Hancko,Dávid Hancko,"CB, LB, LM",83,LCB,Slovakia
Isco,Francisco Román Alarcón Suárez,"CAM, LM, CM",84,SUB,Spain
Ander Herrera,Ander Herrera Agüera,"CDM, CM",78,SUB,Spain
Z. Tripić,Zlatko Hovland Tripić,"RW, LW, RM",76,RW,Norway
Malcom,Malcom Filipe Silva de Oliveira,"CAM, RM, LM, CM",82,RM,Brazil
E. Sánchez,Erick Daniel Sánchez Ocegueda,"CM, CDM",78,,Mexico
N. Rovella,Nicolò Rovella,"CDM, CM",79,CM,Italy
K. Taylor,Kenneth Ina Dorothea Taylor,"CM, CAM",78,LCM,Netherlands
Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,"CAM, RM, CM",83,CAM,Brazil
M. Folorunsho,Michael Ijemuan Folorunsho,"CAM, CM, ST",75,LCM,Italy
R. Christie,Ryan Christie,"CDM, CM, CAM",79,SUB,Scotland
Fornals,Pablo Fornals Malla,"CDM, CM, RM",79,RDM,Spain
Lucas Vázquez,Lucas Vázquez Iglesias,"RB, RM",77,SUB,Spain
A. Bah,Alexander Hartmann Bah,"RB, RM",78,RES,Denmark
A. Golovin,Aleksandr GolovinГоловин Александр Сергеевич,"LM, CAM, LW",79,LM,Russia
Gerson Armão,Gérson Adriano Gutierres Serra,"LB, LM",78,LB,Brazil
Rodinei,Rodinei Marcelo de Almeida,"RB, RM",79,RB,Brazil
S. Lobotka,Stanislav Lobotka,"CM, CDM",83,CDM,Slovakia
D. Zakaria,Denis Lemi Zakaria Lako Lado,"CDM, CM",82,LCM,Switzerland
S. Ascacíbar,Santiago Lionel Ascacíbar,"CDM, CM",78,LCM,Argentina
M. Damsgaard,Mikkel Krogh Damsgaard,"CAM, CM",80,CAM,Denmark
E. Skhiri,Ellyes Joris Skhiriإلياس صخيري,"CDM, CM",80,SUB,Tunisia
F. Schär,Fabian Lukas Schär,CB,82,RCB,Switzerland
N. Schlotterbeck,Nico Cedric Schlotterbeck,CB,85,RES,Germany
L. Messi,Lionel Andrés Messi Cuccitini,"RW, ST, CAM, RM",86,RS,Argentina
R. Rodríguez,Ricardo Iván Rodríguez Araya,"LB, CB, LM",74,SUB,Switzerland
E. Buendía,Emiliano Buendía Stati,"CAM, LM, RM, CM",77,SUB,Argentina
L. Suárez,Luis Alberto Suárez Díaz,"ST, CAM",79,LS,Uruguay
A. Gordon,Anthony Michael Gordon,"LW, RW, LM",83,LW,England
T. Lemar,Thomas Lemar,"CM, LM",77,LCM,France
V. van Dijk,Virgil van Dijk,CB,90,LCB,Netherlands
R. Perraud,Romain Paul Jean-Michel Perraud,"LB, LM",74,LB,France
C. Jones,Curtis Jones,"CAM, CM, CDM",80,SUB,England
M. Pašalić,Mario Pašalić,"CM, CAM",80,LCM,Croatia
N. Nández,Nahitan Michel Nández Acosta,"CM, RB, RM, CAM",76,RM,Uruguay
Ruiz de Galarreta,Iñigo Ruiz de Galarreta Etxeberria,"CDM, CM",80,RDM,Spain
A. Gomes,Adilson Angel Abreu de Almeida Gomes,"CAM, CM, CDM",76,RDM,England
O. Tufan,Ozan Tufan,"CDM, CAM, ST, CM",73,SUB,Türkiye
A. Engels,Arne Engels,"CM, CDM",75,RCM,Belgium
D. Udogie,Iyenoma Destiny Udogie,LB,80,SUB,Italy
Mauro Júnior,Mauro Jaqueson Junior Ferreira dos Santos,"LB, CM, RB, LM",79,LB,Brazil
F. Kadıoğlu,Ferdi Erenay Kadıoğlu,"RB, LB, RM",79,SUB,Türkiye
G. Galoppo,Giuliano Galoppo,"CM, CAM",74,SUB,Argentina
T. Pobega,Tommaso Pobega,"CM, CDM",74,SUB,Italy
Y. Adli,Yacine Adliياسين عدلي,"CDM, CM",78,LDM,France
J. Lerma,Jefferson Andrés Lerma Solís,"CDM, CM, CB",77,SUB,Colombia
R. Baku,Bote Ridle Nzuzi Baku,"RM, RB, RW",78,RB,Germany
Evander,Evander da Silva Ferreira,"CAM, CM, ST",79,RAM,Brazil
L. Majer,Lovro Majer,"CM, CAM, RM",78,CAM,Croatia
O. Marmoush,Omar Khaled Mohamed Marmoush,"ST, CAM, LW",84,LW,Egypt
A. Claude-Maurice,Alexis Claude-Maurice,"CAM, CM, LW",77,SUB,France
R. Bentancur,Rodrigo Bentancur Colmán,"CDM, CM",80,SUB,Uruguay
L. Da Cunha,Lucas Da Cunha,"CDM, CM, CAM",74,LDM,France
Pepelu,José Luis García Vayá,"CM, CDM",77,SUB,Spain
O. Zinchenko,Oleksandr ZinchenkoЗінченко Олександр Володимирович,LB,77,SUB,Ukraine
J. Stage,Jens Dalsgaard Stage,"CM, CDM",78,RDM,Denmark
T. Weah,Timothy Tarpeh Weah,"RM, RB",77,SUB,United States
İ. Kahveci,İrfan Can Kahveci,"RW, CAM, CM, RM",78,SUB,Türkiye
L. Martínez,Lisandro Martínez,CB,81,RES,Argentina
P. Pogba,Paul Labile Pogba,"CM, CDM, CAM",79,SUB,France
M. Uribe,Andrés Mateus Uribe Villa,"CM, CDM",76,SUB,Colombia
T. Partey,Thomas Teye Partey,"CDM, CM, RB",83,SUB,Ghana
Renan Lodi,Renan Augusto Lodi dos Santos,"LB, LM",78,RES,Brazil
J. Brownhill,Joshua Brownhill,"CDM, CM, CAM",76,SUB,England
L. Robertone,Lucas Gastón Robertone,"CM, CDM",72,SUB,Argentina
M. Mittelstädt,Maximilian Mittelstädt,"LB, LM",82,LB,Germany
Guga Rodrigues,Gonçalo Rosa Gonçalves Pereira Rodrigues,"CM, LM, CAM",74,LCM,Portugal
Gayà,José Luis Gayà Peña,"LB, LM",81,LB,Spain
V. Pavlidis,Vangelis PavlidisΒαγγέλης Παυλίδης,"ST, CAM",82,RS,Greece
M. Meza,Maximiliano Eduardo Meza,"CM, LW, RW, LM",75,CM,Argentina
E. Gómez,Elías José Gómez,"LB, LM",73,LB,Argentina
L. Hall,Lewis Kieran Hall,LB,80,SUB,England
Carlos Soler,Carlos Soler Barragán,"CM, CAM",77,SUB,Spain
N. Gudelj,Nemanja GudeljНемања Гудељ,"CB, CDM",77,LDM,Serbia
B. Heynen,Bryan Heynen,"CDM, CM, CAM",78,LDM,Belgium
J. Cuadrado,Juan Guillermo Cuadrado Bello,"RM, RB, RW",76,SUB,Colombia
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,ST,85,ST,Portugal
R. Aliendro,Rodrigo Germán Aliendro,"CM, CDM, CB",74,SUB,Argentina
K. Dewsbury-Hall,Kiernan Frank Dewsbury-Hall,"CM, CAM, CDM",77,CAM,England
C. Zafeiris,Christos ZafeirisΧρήστος Ζαφείρης,"CM, CDM",75,RCM,Greece
D. Cataldi,Danilo Cataldi,"CDM, CM",77,SUB,Italy
Andeson Trigo,Andeson Jaime Trigo Gonçalves,"LB, LM, CAM",77,LB,Brazil
M. Götze,Mario Götze,"CM, CAM, RM, CDM",82,SUB,Germany
P. Frankowski,Przemysław Frankowski,"RB, RM",75,RB,Poland
I. Toney,Ivan Benjamin Elijah Toney,ST,81,ST,England
M. Casco,Milton Oscar Casco,"LB, RB, LM",74,SUB,Argentina
Diogo Dalot,José Diogo Dalot Teixeira,"RB, LB, RM",79,SUB,Portugal
M. Sanson,Morgan Sanson,"CM, CAM",76,SUB,France
Ricardo Horta,Ricardo Jorge da Luz Horta,"CAM, LM, RM, CM",81,CAM,Portugal
C. De Ketelaere,Charles De Ketelaere,"CAM, ST, CM",82,RAM,Belgium
J. Bowen,Jarrod Bowen,"RM, ST, RW",83,RS,England
D. Núñez,Darwin Gabriel Núñez Ribeiro,ST,79,ST,Uruguay
A. Castro-Montes,Alessio Daniel Castro-Montes,"RM, LM, RB, RW",77,SUB,Belgium
A. Colpani,Andrea Colpani,"RM, CAM, RW",78,SUB,Italy
J. Frimpong,Jeremie Agyekum Frimpong,"RB, RM, RW",83,RB,Netherlands
A. Isak,Alexander Isak,ST,88,SUB,Sweden
Álvaro Carreras,Álvaro Fernández Carreras,"LB, LM",80,LB,Spain
C. Aquino,Claudio Ezequiel Aquino,"CAM, CM",77,SUB,Argentina
M. Politano,Matteo Politano,"RW, RM",81,RM,Italy
Marlon Dorrão,Marlon Wilson Dorrão Barni,"CDM, CM",68,SUB,Brazil
Pedro Díaz,Pedro Díaz Fanjul,"CM, CDM, CAM",75,CAM,Spain
M. Bero,Matúš Bero,"CM, CAM",74,RCM,Slovakia
A. Bakasetas,Anastasios BakasetasΑναστάσιος Μπακασέτας,"CAM, CM",76,CM,Greece
Nuno Tavares,Nuno Albertino Varela Tavares,"LB, LM",78,LB,Portugal
K. Benzema,Karim Benzemaكريم بن زيما,"ST, CAM",85,ST,France
S. Amrabat,Sofyan Amrabatسفيان أمرابط,"CDM, CM, CB",78,SUB,Morocco
S. Szymański,Sebastian Szymański,"CAM, CM",78,SUB,Poland
R. Sánchez,Richard Rafael Sánchez Guerrero,"CM, CDM",75,SUB,Paraguay
K. Castaño,Kevin Duván Castaño Gil,"CM, CDM",77,LCM,Colombia
P. Hrošovský,Patrik Hrošovský,"CM, CAM, CDM",76,SUB,Slovakia
S. Colombatto,Santiago Colombatto,"CDM, CM",73,SUB,Argentina
D. Sow,Mohameth Djibril Ibrahima Sow,"CM, CDM",76,SUB,Switzerland
A. Jashari,Ardon Jashari,"CDM, CM",77,SUB,Switzerland
Chiquinho,Francisco Leonel Lima Silva Machado,"CM, CAM, RM",78,RM,Portugal
M. Amoura,Mohamed El Amine Amouraمحمد الأمين عمورة,"ST, LW, LM, CAM",80,LM,Algeria
Oyarzabal,Mikel Oyarzabal Ugarte,"ST, LM, LW",82,ST,Spain
Renato Sanches,Renato Júnior Luz Sanches,"CM, CDM",75,SUB,Portugal
Y. Fofana,Youssouf Fofana,"CDM, CM",81,RCM,France
G. Rutter,Georginio Rutter,"CAM, ST",77,CAM,France
B. Cristante,Bryan Cristante,"CM, CDM",80,RCM,Italy
Gerard Moreno,Gerard Moreno Balagueró,"ST, RW, CAM",81,RS,Spain
J. Murphy,Jacob Kai Murphy,"RW, RM",81,SUB,England
P. Sarr,Pape Matar Sarr,"CM, CDM",79,RCM,Senegal
G. Montiel,Gonzalo Ariel Montiel,"RB, RM",78,RB,Argentina
J. Juranović,Josip Juranović,"RB, RM",75,SUB,Croatia
R. Hatate,Reo Hatate旗手 怜央,"CM, CAM",76,LCM,Japan
Fabinho,Fábio Henrique Tavares,"CDM, CM",82,LDM,Brazil
V. Osimhen,Victor James Osimhen,ST,87,ST,Nigeria
